Frame,Position on screen,Position in cms
5,1.5,1.931330472103
6,4.7,6.05150214592275
7,7.8,10.0429184549356
8,11.1,14.2918454935622
10,17,21.8884120171674
11,19.7,25.3648068669528
12,22.3,28.7124463519313
13,24.8,31.931330472103
14,27.5,35.4077253218884
